PartID,Capacity,OtherCap
124454,93,32176.25
126216,1126.8,31142.45
172669,57.5,32211.75
173252,248.5,32020.75
184983,14,32255.25
188321,32,32237.25
196063,433,31836.25
206845,2513.5,29755.75
20721,44.5,32224.75
212494,1927,30342.25
219842,680,31589.25
292445,571.9,31697.35
295534,591,31678.25
331313,131.5,32137.75
355376,80,32189.25
364108,7.7,32261.55
384652,11.5,32257.75
389507,94,32175.25
399648,144,32125.25
401592,2114,30155.25
402551,13.8,32255.45
412080,604.7,31664.55
423302,77.4,32191.85
425747,5,32264.25
427733,145.8,32123.45
441991,47.5,32221.75
443032,85.2,32184.05
475203,19,32250.25
500194,72,32197.25
504170,1993,30276.25
505616,15.7,32253.55
513808,12.4,32256.85
514483,12.6,32256.65
529988,1529.4,30739.85
535574,67.2,32202.05
547098,20,32249.25
547596,204.8,32064.45
582462,1354.6,30914.65
591975,3067,29202.25
595644,579,31690.25
602337,161.7,32107.55
629513,108.6,32160.65
639879,186,32083.25
647399,21,32248.25
647723,30,32239.25
698953,290.5,31978.75
711583,207.9,32061.35
720088,232.1,32037.15
739738,853.4,31415.85
749668,1066.4,31202.85
776557,67.9,32201.35
784337,9.5,32259.75
831346,28.4,32240.85
835131,101.5,32167.75
840426,75,32194.25
857404,2,32267.25
872788,958,31311.25
875485,20,32249.25
883543,316,31953.25
884208,21.2,32248.05
885483,58.4,32210.85
902359,44,32225.25
902793,2480.8,29788.45
924442,154.5,32114.75
931987,598,31671.25
953967,98.2,32171.05
955355,5,32264.25
958512,856,31413.25
962908,22,32247.25
974156,35.3,32233.95
975156,237.8,32031.45
985313,65.4,32203.85
986525,375.2,31894.05
463516,7,32262.25
205059,5,32264.25
484516,20,32249.25
298493,15,32254.25
328723,986.45,31282.8
589605,184.8,32084.45
560291,51,32218.25
404086,106.5,32162.75
230199,0.3,32268.95
246686,77,32192.25
440886,6,32263.25
512311,30,32239.25
910093,3,32266.25
779293,148,32121.25
